,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,character_A,character_B,emotion
105,105,105,105,105,105,105,Elijah,cluster3_0,0.0
106,106,106,106,106,106,106,Philip,cluster3_0,0.0
107,107,107,107,107,107,107,Timothy,cluster3_0,0.0
108,108,108,108,108,108,108,Mary Magdalene,Mary,0.0
109,109,109,109,109,109,109,Jesus Christ,cluster3_0,0.0
110,110,110,110,110,110,110,Andrew,cluster0_2,0.0
111,111,111,111,111,111,111,Andrew,cluster3_0,0.0
112,112,112,112,112,112,112,John the Baptist,cluster0_2,0.0
113,113,113,113,113,113,113,John the Baptist,cluster3_0,0.0
114,114,114,114,114,114,114,Mary,cluster0_2,0.0
115,115,115,115,115,115,115,Mary,cluster3_0,0.0
116,116,116,116,116,116,116,Isaac,cluster3_0,0.0
117,117,117,117,117,117,117,Isaac,Abraham,0.0
118,118,118,118,118,118,118,cluster0_2,Simon Peter,0.0
119,119,119,119,119,119,119,cluster3_0,Abraham,0.0
120,120,120,120,120,120,120,cluster3_0,Verily,0.0
121,121,121,121,121,121,121,cluster3_0,Woman,0.0
122,122,122,122,122,122,122,cluster3_0,Paul,0.0
123,123,123,123,123,123,123,cluster3_0,Simon Peter,0.0
124,124,124,124,124,124,124,Barnabas,Paul,0.0
